Skills,Understanding,Comments
Languages,,
Python,Advance,
Vanilla JavaScript,Intermediate,
TypeScript,Beginner,
Frontend,,
HTML,Advance,
NextJS,Beginner,
ReactJS,Beginner,
CSS,Intermediate,
BootStrap,Advance,
MUI,Beginner,
TailwindCSS,Beginner,
Databases/DataStore,,
MySQL,Intermediate,
MongoDB,Intermediate,
Snowflake,Intermediate,
PostgreSQL,Beginner,
AWS S3,Beginner,
Azure Blob Storage,Beginner,
ChromaDB,Beginner,Vector DB
Pincone,Beginner,Vector DB
UI/UX,,
Figma,Beginner,
Backend,,
NumPy,Intermediate,
Pandas,Intermediate,
Matplotlib,Intermediate,
Flask,Intermediate,
Django,Beginner,
NodeJS,Intermediate,
Langchain,Beginner,
Langgraph,Beginner,
Scikit-learn,Beginner,
Tenserflow,Beginner,
Pytorch,Beginner,
LAMA index,Beginner,
HAY Stack,Beginner,
RestAPI,Intermediate,
DevOps,,
AWS,Intermediate,
Azure,Beginner,
GCP,Beginner,
Linux,Intermediate,
Docker,Intermediate,
Helm,Beginner,
Jenkins,Beginner,
Kubernetes,Intermediate,
Extras,,
AsyncIO,Beginner,
Multiprocessing,Intermediate,
Concurrent Programming,Intermediate,
Threading,Intermediate,
Throttling,Beginner,
Celery,Beginner,
Axios,Beginner,
Redis,Beginner,
Nginx,Beginner,
Kafka,Beginner,
Airflow,Beginner,
CI/CD,,
Git,Intermediate,
GitHub,Intermediate,
GitLab,Intermediate,
BitBucket,Intermediate,
